Problem 2.3

Time (s)	Velocity With Air Drag
12.87		12.172
12.88		12.1728
12.89		12.1736
12.9		12.1744
12.91		12.1753
12.92		12.1761
12.93		12.1769
12.94		12.1777
12.95		12.1786
12.96		12.1794
12.97		12.1802
12.98		12.181
12.99		12.1818
13		12.1826
13.01		12.1835
13.02		12.1843
13.03		12.1851
13.04		12.1859
13.05		12.1867
13.06		12.1875
13.07		12.1883
13.08		12.1892
13.09		12.19
13.1		12.1908
13.11		12.1916
13.12		12.1924
13.13		12.1932
13.14		12.194
13.15		12.1948
13.16		12.1956
13.17		12.1964
13.18		12.1972
13.19		12.198
13.2		12.1988
13.21		12.1996
13.22		12.2004
13.23		12.2012
13.24		12.202
13.25		12.2028
13.26		12.2036
13.27		12.2044
13.28		12.2052
13.29		12.206
13.3		12.2068
13.31		12.2076
13.32		12.2084
13.33		12.2092
13.34		12.2099
13.35		12.2107
13.36		12.2115
13.37		12.2123
13.38		12.2131
13.39		12.2139
13.4		12.2147
13.41		12.2154
13.42		12.2162
13.43		12.217
13.44		12.2178
13.45		12.2186
13.46		12.2194
13.47		12.2201
13.48		12.2209
13.49		12.2217
13.5		12.2225
13.51		12.2233
13.52		12.224
13.53		12.2248
13.54		12.2256
13.55		12.2263
13.56		12.2271
13.57		12.2279
13.58		12.2287
13.59		12.2294
13.6		12.2302
13.61		12.231
13.62		12.2317
13.63		12.2325
13.64		12.2333
13.65		12.234
13.66		12.2348
13.67		12.2356
13.68		12.2363
13.69		12.2371
13.7		12.2379
13.71		12.2386
13.72		12.2394
13.73		12.2401
13.74		12.2409
13.75		12.2417
13.76		12.2424
13.77		12.2432
13.78		12.2439
13.79		12.2447
13.8		12.2454
13.81		12.2462
13.82		12.2469
13.83		12.2477
13.84		12.2485
13.85		12.2492
13.86		12.25
13.87		12.2507
13.88		12.2515
13.89		12.2522
13.9		12.2529
13.91		12.2537
13.92		12.2544
13.93		12.2552
13.94		12.2559
13.95		12.2567
13.96		12.2574
13.97		12.2582
13.98		12.2589
13.99		12.2596
14		12.2604
14.01		12.2611
14.02		12.2619
14.03		12.2626
14.04		12.2633
14.05		12.2641
14.06		12.2648
14.07		12.2655
14.08		12.2663
14.09		12.267
14.1		12.2677
14.11		12.2685
14.12		12.2692
14.13		12.2699
14.14		12.2707
14.15		12.2714
14.16		12.2721
14.17		12.2728
14.18		12.2736
14.19		12.2743
14.2		12.275
14.21		12.2757
14.22		12.2765
14.23		12.2772
14.24		12.2779
14.25		12.2786
14.26		12.2794
14.27		12.2801
14.28		12.2808
14.29		12.2815
14.3		12.2822
14.31		12.283
14.32		12.2837
14.33		12.2844
14.34		12.2851
14.35		12.2858
14.36		12.2865
14.37		12.2872
14.38		12.288
14.39		12.2887
14.4		12.2894
14.41		12.2901
14.42		12.2908
14.43		12.2915
14.44		12.2922
14.45		12.2929
14.46		12.2936
14.47		12.2943
14.48		12.295
14.49		12.2957
14.5		12.2965
14.51		12.2972
14.52		12.2979
14.53		12.2986
14.54		12.2993
14.55		12.3
14.56		12.3007
14.57		12.3014
14.58		12.3021
14.59		12.3028
14.6		12.3035
14.61		12.3042
14.62		12.3048
14.63		12.3055
14.64		12.3062
14.65		12.3069
14.66		12.3076
14.67		12.3083
